Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
South America,Colombia,Clothing,Online,Low,2026-03-31,943,2026-04-04,821,937.72,651.46,769868.12,534848.66,235019.46
Oceania,New Zealand,Furniture,Online,Low,2025-04-26,944,2025-05-01,6757,511.17,396.5,3453975.69,2679150.5,774825.19
Africa,Egypt,Office Supplies,Online,Medium,2022-02-11,945,2022-02-25,4035,446.56,355.13,1801869.6,1432949.55,368920.05
Europe,United Kingdom,Cosmetics,Online,Low,2022-02-12,946,2022-02-22,2538,256.3,158.35,650489.4,401892.3,248597.1
Asia,Singapore,Electronics,Online,Critical,2023-07-11,947,2023-07-13,501,484.68,235.46,242824.68,117965.46,124859.22
North America,United States,Electronics,Offline,Low,2025-02-07,948,2025-02-17,4221,235.25,116.53,992990.25,491873.13,501117.12
South America,Colombia,Food,Offline,Critical,2022-09-13,949,2022-09-20,1916,607.65,447.14,1164257.4,856720.24,307537.16
Europe,Italy,Cosmetics,Online,Critical,2024-11-06,950,2024-11-09,3848,721.73,575.6,2777217.04,2214908.8,562308.24
Africa,Kenya,Cosmetics,Online,Medium,2026-04-03,951,2026-04-04,2321,53.49,33.65,124150.29,78101.65,46048.64
Asia,South Korea,Electronics,Online,Critical,2025-12-27,952,2026-01-02,1083,817.42,563.21,885265.86,609956.43,275309.43
Asia,India,Food,Offline,Medium,2024-12-04,953,2024-12-17,919,859.13,408.12,789540.47,375062.28,414478.19
North America,United States,Furniture,Offline,Critical,2024-06-23,954,2024-06-26,5469,514.19,381.58,2812105.11,2086861.02,725244.09
North America,Mexico,Electronics,Offline,Medium,2022-11-26,955,2022-12-02,4696,662.6,429.48,3111569.6,2016838.08,1094731.52
North America,Mexico,Electronics,Offline,Critical,2024-04-11,956,2024-04-18,2974,251.34,176.02,747485.16,523483.48,224001.68
Africa,South Africa,Furniture,Offline,High,2026-04-27,957,2026-05-01,2550,33.53,20.45,85501.5,52147.5,33354.0
Africa,South Africa,Clothing,Offline,Critical,2024-10-30,958,2024-11-09,8352,96.22,43.43,803629.44,362727.36,440902.08
Europe,France,Office Supplies,Offline,Low,2025-03-15,959,2025-03-25,5139,836.39,427.61,4298208.21,2197487.79,2100720.42
North America,United States,Clothing,Offline,Medium,2023-10-09,960,2023-10-12,9498,180.45,122.98,1713914.1,1168064.04,545850.06
Oceania,New Zealand,Furniture,Offline,Critical,2022-01-13,961,2022-01-23,7681,763.71,422.77,5866056.51,3247296.37,2618760.14
South America,Chile,Clothing,Online,High,2024-09-14,962,2024-09-18,8979,260.48,148.14,2338849.92,1330149.06,1008700.86
Oceania,Australia,Electronics,Online,Medium,2024-02-06,963,2024-02-11,9054,915.72,416.99,8290928.88,3775427.46,4515501.42
Europe,United Kingdom,Furniture,Offline,High,2025-11-22,964,2025-11-24,6783,854.62,427.47,5796887.46,2899529.01,2897358.45
South America,Colombia,Office Supplies,Online,Critical,2024-09-12,965,2024-09-13,404,832.24,466.79,336224.96,188583.16,147641.8
Europe,United Kingdom,Cosmetics,Offline,High,2022-12-05,966,2022-12-15,6621,955.91,545.98,6329080.11,3614933.58,2714146.53
North America,Mexico,Cosmetics,Offline,Medium,2022-11-07,967,2022-11-08,8431,35.32,21.47,297782.92,181013.57,116769.35
North America,Canada,Clothing,Offline,High,2022-08-16,968,2022-08-23,3501,222.98,137.46,780652.98,481247.46,299405.52
North America,United States,Furniture,Online,Critical,2025-12-19,969,2025-12-28,4407,976.8,469.1,4304757.6,2067323.7,2237433.9
North America,Canada,Cosmetics,Offline,Critical,2025-11-09,970,2025-11-17,8615,548.92,331.16,4728945.8,2852943.4,1876002.4
North America,Mexico,Food,Online,Medium,2025-02-25,971,2025-03-10,173,664.82,479.83,115013.86,83010.59,32003.27
South America,Colombia,Furniture,Offline,Critical,2025-07-06,972,2025-07-14,9251,79.93,37.53,739432.43,347190.03,392242.4
Africa,Morocco,Furniture,Online,Medium,2024-07-13,973,2024-07-14,3036,168.19,126.34,510624.84,383568.24,127056.6
North America,Mexico,Office Supplies,Online,Low,2022-04-07,974,2022-04-19,2696,410.15,211.5,1105764.4,570204.0,535560.4
South America,Argentina,Food,Offline,High,2021-09-06,975,2021-09-16,7065,188.08,143.49,1328785.2,1013756.85,315028.35
North America,United States,Furniture,Online,Low,2022-04-03,976,2022-04-16,5173,553.48,419.66,2863152.04,2170901.18,692250.86
South America,Argentina,Furniture,Online,Low,2025-02-14,977,2025-02-22,5546,358.3,210.27,1987131.8,1166157.42,820974.38
Africa,Nigeria,Office Supplies,Offline,Critical,2026-03-04,978,2026-03-10,5491,384.33,223.19,2110356.03,1225536.29,884819.74
Europe,United Kingdom,Furniture,Offline,Medium,2022-07-04,979,2022-07-05,2685,917.94,701.91,2464668.9,1884628.35,580040.55
Asia,South Korea,Furniture,Online,Critical,2022-05-11,980,2022-05-19,1754,823.26,586.78,1443998.04,1029212.12,414785.92
Oceania,Fiji,Electronics,Offline,Medium,2022-09-07,981,2022-09-18,6297,17.36,13.69,109315.92,86205.93,23109.99
Asia,Singapore,Cosmetics,Online,Low,2025-06-16,982,2025-06-29,5671,852.05,489.45,4831975.55,2775670.95,2056304.6
Oceania,New Zealand,Cosmetics,Offline,High,2025-01-14,983,2025-01-26,7541,363.38,189.65,2740248.58,1430150.65,1310097.93
North America,United States,Furniture,Offline,Low,2024-11-18,984,2024-11-19,5519,644.67,442.29,3557933.73,2440998.51,1116935.22
Oceania,Australia,Cosmetics,Offline,High,2023-07-09,985,2023-07-18,8940,683.02,327.9,6106198.8,2931426.0,3174772.8
Africa,Nigeria,Furniture,Online,Low,2026-08-06,986,2026-08-16,2572,669.59,404.61,1722185.48,1040656.92,681528.56
Africa,Egypt,Clothing,Online,Critical,2024-12-02,987,2024-12-11,3876,530.96,325.26,2058000.96,1260707.76,797293.2
Oceania,Fiji,Office Supplies,Offline,Low,2022-06-13,988,2022-06-21,6031,458.57,317.84,2765635.67,1916893.04,848742.63
South America,Colombia,Cosmetics,Offline,Medium,2021-10-31,989,2021-11-04,6839,310.0,206.15,2120090.0,1409859.85,710230.15
Europe,Spain,Food,Online,Medium,2022-01-18,990,2022-02-01,1061,220.94,156.43,234417.34,165972.23,68445.11
North America,Mexico,Cosmetics,Offline,Medium,2023-01-22,991,2023-01-25,6806,384.64,234.72,2617859.84,1597504.32,1020355.52
Africa,Nigeria,Furniture,Offline,Low,2026-06-30,992,2026-07-01,5234,264.21,205.7,1382875.14,1076633.8,306241.34
Oceania,Fiji,Cosmetics,Online,Low,2024-01-04,993,2024-01-07,4574,812.8,537.13,3717747.2,2456832.62,1260914.58
Asia,South Korea,Cosmetics,Online,Medium,2023-07-04,994,2023-07-09,4409,946.38,695.1,4172589.42,3064695.9,1107893.52
Europe,Italy,Food,Offline,Medium,2021-11-06,995,2021-11-08,1692,420.1,214.48,710809.2,362900.16,347909.04
Asia,China,Food,Offline,Medium,2023-11-04,996,2023-11-16,1320,841.68,483.94,1111017.6,638800.8,472216.8
Asia,India,Cosmetics,Online,Medium,2024-08-14,997,2024-08-17,7844,395.43,226.7,3101752.92,1778234.8,1323518.12
Europe,Spain,Office Supplies,Online,Critical,2022-06-12,998,2022-06-24,8150,370.88,234.37,3022672.0,1910115.5,1112556.5
Africa,South Africa,Furniture,Online,Low,2021-09-20,999,2021-10-02,420,678.02,380.24,284768.4,159700.8,125067.6
Oceania,New Zealand,Clothing,Online,High,2023-11-12,1000,2023-11-15,5162,51.7,31.53,266875.4,162757.86,104117.54
Oceania,Australia,Furniture,Offline,Low,2023-09-19,1001,2023-09-30,7100,631.62,473.2,4484502.0,3359720.0,1124782.0
Oceania,Australia,Furniture,Online,High,2022-01-12,1002,2022-01-19,8876,45.9,25.85,407408.4,229444.6,177963.8
Asia,Japan,Office Supplies,Offline,Low,2023-01-13,1003,2023-01-26,7166,825.26,596.55,5913813.16,4274877.3,1638935.86
North America,United States,Clothing,Online,High,2023-07-15,1004,2023-07-16,4779,466.96,340.44,2231601.84,1626962.76,604639.08
South America,Brazil,Furniture,Online,Medium,2024-10-24,1005,2024-10-31,6772,834.52,456.88,5651369.44,3093991.36,2557378.08
South America,Colombia,Electronics,Offline,High,2021-12-26,1006,2021-12-27,5657,512.63,260.33,2899947.91,1472686.81,1427261.1
Africa,South Africa,Furniture,Online,Medium,2023-03-17,1007,2023-03-27,9476,527.08,405.32,4994610.08,3840812.32,1153797.76
North America,Mexico,Furniture,Online,Low,2024-05-17,1008,2024-05-19,8945,333.69,222.48,2984857.05,1990083.6,994773.45
North America,Mexico,Cosmetics,Online,Medium,2023-11-09,1009,2023-11-15,5526,512.59,408.55,2832572.34,2257647.3,574925.04
Europe,United Kingdom,Furniture,Offline,Critical,2023-11-18,1010,2023-11-24,4486,760.11,401.79,3409853.46,1802429.94,1607423.52
North America,Mexico,Food,Offline,Medium,2021-09-19,1011,2021-09-26,5114,221.4,134.19,1132239.6,686247.66,445991.94
Europe,France,Cosmetics,Offline,High,2024-07-09,1012,2024-07-14,7053,171.52,112.76,1209730.56,795296.28,414434.28
North America,Mexico,Clothing,Offline,Low,2024-09-01,1013,2024-09-09,9580,329.91,241.08,3160537.8,2309546.4,850991.4
Asia,China,Cosmetics,Offline,High,2023-03-14,1014,2023-03-18,6951,189.86,106.49,1319716.86,740211.99,579504.87
Oceania,Fiji,Electronics,Online,Critical,2026-06-08,1015,2026-06-22,2938,196.98,98.88,578727.24,290509.44,288217.8
Europe,Italy,Office Supplies,Offline,Low,2022-10-14,1016,2022-10-22,410,940.23,586.82,385494.3,240596.2,144898.1
Africa,Morocco,Furniture,Offline,High,2026-08-08,1017,2026-08-16,1564,891.39,519.37,1394133.96,812294.68,581839.28
Asia,Japan,Office Supplies,Offline,Low,2024-09-08,1018,2024-09-10,3039,401.84,300.06,1221191.76,911882.34,309309.42
Africa,Kenya,Office Supplies,Online,Low,2024-12-15,1019,2024-12-24,7955,854.81,406.43,6800013.55,3233150.65,3566862.9
Asia,South Korea,Food,Offline,Low,2024-12-11,1020,2024-12-12,3326,248.69,165.3,827142.94,549787.8,277355.14
Asia,China,Office Supplies,Offline,Critical,2025-02-28,1021,2025-03-14,3855,864.55,501.91,3332840.25,1934863.05,1397977.2
Asia,Japan,Office Supplies,Offline,Low,2026-07-14,1022,2026-07-15,9302,746.13,491.54,6940501.26,4572305.08,2368196.18
South America,Chile,Office Supplies,Offline,High,2025-10-13,1023,2025-10-22,9006,178.71,91.95,1609462.26,828101.7,781360.56
Oceania,Fiji,Cosmetics,Online,Medium,2023-07-31,1024,2023-08-10,9759,79.65,50.52,777304.35,493024.68,284279.67
Europe,Germany,Clothing,Online,High,2025-05-04,1025,2025-05-05,1039,456.99,341.73,474812.61,355057.47,119755.14
North America,United States,Furniture,Online,Low,2024-02-11,1026,2024-02-15,1873,859.37,686.58,1609600.01,1285964.34,323635.67
Africa,South Africa,Furniture,Online,High,2026-02-27,1027,2026-03-06,4557,30.2,18.24,137621.4,83119.68,54501.72
Oceania,New Zealand,Furniture,Offline,Critical,2025-09-11,1028,2025-09-17,2683,133.41,95.89,357939.03,257272.87,100666.16
South America,Argentina,Electronics,Online,Medium,2021-09-21,1029,2021-09-28,8172,421.45,232.57,3444089.4,1900562.04,1543527.36
North America,Canada,Furniture,Offline,Medium,2022-06-28,1030,2022-07-07,8839,239.93,115.17,2120741.27,1017987.63,1102753.64
North America,Canada,Furniture,Online,High,2026-03-13,1031,2026-03-14,9817,762.52,352.61,7485658.84,3461572.37,4024086.47
Europe,United Kingdom,Electronics,Offline,Medium,2024-01-11,1032,2024-01-15,5130,151.97,117.9,779606.1,604827.0,174779.1
Europe,France,Furniture,Offline,Critical,2022-06-05,1033,2022-06-17,1560,656.6,398.71,1024296.0,621987.6,402308.4
North America,Mexico,Clothing,Offline,Low,2023-12-26,1034,2023-12-29,8250,470.26,273.38,3879645.0,2255385.0,1624260.0
Asia,Singapore,Office Supplies,Online,High,2025-06-24,1035,2025-06-30,173,456.91,289.88,79045.43,50149.24,28896.19
Europe,Germany,Clothing,Online,High,2023-11-11,1036,2023-11-13,1413,597.46,386.33,844210.98,545884.29,298326.69
Europe,United Kingdom,Clothing,Online,Medium,2024-03-06,1037,2024-03-07,5167,481.73,219.05,2489098.91,1131831.35,1357267.56
Asia,Singapore,Cosmetics,Offline,Medium,2025-04-27,1038,2025-05-11,6112,432.32,336.73,2642339.84,2058093.76,584246.08
South America,Colombia,Clothing,Offline,High,2024-06-19,1039,2024-06-22,5174,586.45,396.94,3034292.3,2053767.56,980524.74
Europe,Germany,Office Supplies,Offline,High,2025-08-04,1040,2025-08-05,5705,70.24,51.36,400719.2,293008.8,107710.4
Africa,Egypt,Food,Offline,Medium,2023-05-10,1041,2023-05-19,2955,190.44,96.73,562750.2,285837.15,276913.05
North America,Mexico,Office Supplies,Online,Medium,2025-09-04,1042,2025-09-13,6066,701.77,362.84,4256936.82,2200987.44,2055949.38
Asia,China,Food,Online,Critical,2026-05-17,1043,2026-05-26,4456,876.8,440.32,3907020.8,1962065.92,1944954.88
Europe,Germany,Cosmetics,Online,Critical,2025-12-05,1044,2025-12-08,449,829.22,649.78,372319.78,291751.22,80568.56
Asia,India,Furniture,Offline,Low,2025-09-29,1045,2025-10-08,3356,488.01,224.04,1637761.56,751878.24,885883.32
Africa,Morocco,Electronics,Online,Critical,2025-08-15,1046,2025-08-23,1411,960.33,670.63,1355025.63,946258.93,408766.7
Asia,South Korea,Cosmetics,Offline,High,2024-10-01,1047,2024-10-07,6099,710.95,524.88,4336084.05,3201243.12,1134840.93
Africa,Egypt,Food,Offline,Medium,2022-09-05,1048,2022-09-15,9824,751.47,381.75,7382441.28,3750312.0,3632129.28
Asia,Singapore,Cosmetics,Offline,Critical,2023-09-25,1049,2023-09-29,4284,933.93,546.53,4000956.12,2341334.52,1659621.6
Europe,Italy,Office Supplies,Online,Low,2025-12-25,1050,2025-12-30,6965,269.66,134.12,1878181.9,934145.8,944036.1
South America,Brazil,Office Supplies,Offline,Critical,2024-03-28,1051,2024-03-29,6107,162.73,118.91,993792.11,726183.37,267608.74
Oceania,Fiji,Cosmetics,Offline,Medium,2024-02-15,1052,2024-02-24,3392,602.21,426.34,2042696.32,1446145.28,596551.04
South America,Chile,Clothing,Online,Medium,2025-02-13,1053,2025-02-20,5021,257.37,177.16,1292254.77,889520.36,402734.41
Africa,Kenya,Cosmetics,Online,Medium,2021-11-30,1054,2021-12-09,496,396.85,181.11,196837.6,89830.56,107007.04
North America,Canada,Cosmetics,Online,Medium,2023-08-13,1055,2023-08-22,8157,433.93,306.57,3539567.01,2500691.49,1038875.52
South America,Colombia,Clothing,Offline,Critical,2021-09-11,1056,2021-09-15,6458,443.61,334.23,2864833.38,2158457.34,706376.04
South America,Brazil,Office Supplies,Offline,High,2023-05-02,1057,2023-05-04,7200,842.75,528.82,6067800.0,3807504.0,2260296.0
Asia,Japan,Office Supplies,Online,Low,2022-03-13,1058,2022-03-14,7215,347.0,249.45,2503605.0,1799781.75,703823.25
Europe,Spain,Food,Online,High,2025-11-08,1059,2025-11-09,6546,815.52,592.21,5338393.92,3876606.66,1461787.26
Europe,Spain,Food,Online,Low,2025-02-12,1060,2025-02-25,348,999.74,679.18,347909.52,236354.64,111554.88
South America,Argentina,Clothing,Online,Critical,2025-10-21,1061,2025-10-29,8889,616.21,404.13,5477490.69,3592311.57,1885179.12
South America,Argentina,Furniture,Offline,Critical,2022-03-07,1062,2022-03-16,5228,441.4,294.99,2307639.2,1542207.72,765431.48
South America,Brazil,Clothing,Offline,Critical,2025-07-26,1063,2025-08-04,295,673.83,439.69,198779.85,129708.55,69071.3
Asia,China,Office Supplies,Offline,Medium,2022-12-04,1064,2022-12-13,840,210.58,128.41,176887.2,107864.4,69022.8
South America,Brazil,Clothing,Offline,High,2022-11-16,1065,2022-11-19,3608,222.59,124.97,803104.72,450891.76,352212.96
South America,Argentina,Office Supplies,Online,High,2022-07-20,1066,2022-07-22,784,305.1,239.96,239198.4,188128.64,51069.76
North America,United States,Office Supplies,Online,High,2025-03-15,1067,2025-03-20,4876,582.61,364.21,2840806.36,1775887.96,1064918.4
Asia,Singapore,Cosmetics,Online,Critical,2026-07-04,1068,2026-07-18,4540,373.72,295.62,1696688.8,1342114.8,354574.0
Europe,France,Cosmetics,Offline,High,2024-03-25,1069,2024-03-30,4937,661.26,353.49,3264640.62,1745180.13,1519460.49
Asia,India,Clothing,Offline,Medium,2022-10-19,1070,2022-10-24,6460,31.98,19.71,206590.8,127326.6,79264.2
Europe,Spain,Clothing,Offline,Medium,2025-09-28,1071,2025-10-12,5466,431.45,319.52,2358305.7,1746496.32,611809.38
Africa,South Africa,Cosmetics,Offline,Low,2022-09-24,1072,2022-10-06,8272,939.35,429.95,7770303.2,3556546.4,4213756.8
Africa,Nigeria,Electronics,Offline,Low,2026-04-23,1073,2026-04-28,4882,596.01,447.23,2909720.82,2183376.86,726343.96
Europe,United Kingdom,Cosmetics,Online,Low,2022-09-20,1074,2022-10-04,654,876.53,415.87,573250.62,271978.98,301271.64
North America,Mexico,Clothing,Online,Low,2023-04-23,1075,2023-05-03,4816,445.89,307.26,2147406.24,1479764.16,667642.08
Europe,Germany,Clothing,Online,High,2024-05-09,1076,2024-05-14,367,728.2,509.46,267249.4,186971.82,80277.58
Oceania,Australia,Office Supplies,Offline,Low,2024-09-06,1077,2024-09-15,5461,855.7,644.73,4672977.7,3520870.53,1152107.17
Oceania,Australia,Electronics,Online,High,2025-06-08,1078,2025-06-15,5738,35.97,16.6,206395.86,95250.8,111145.06
Europe,Italy,Electronics,Online,High,2022-06-24,1079,2022-06-28,5057,428.97,235.05,2169301.29,1188647.85,980653.44
Africa,Egypt,Food,Online,Medium,2025-08-10,1080,2025-08-16,72,816.51,377.9,58788.72,27208.8,31579.92
Africa,Morocco,Office Supplies,Offline,Medium,2022-01-18,1081,2022-01-19,9844,44.36,20.7,436679.84,203770.8,232909.04
North America,Mexico,Electronics,Offline,High,2023-09-10,1082,2023-09-23,3463,667.34,508.28,2310998.42,1760173.64,550824.78
Africa,Egypt,Food,Offline,Low,2025-01-02,1083,2025-01-03,8670,750.25,344.06,6504667.5,2983000.2,3521667.3
Africa,South Africa,Clothing,Offline,Medium,2021-09-10,1084,2021-09-19,3424,216.22,150.8,740337.28,516339.2,223998.08
Asia,India,Office Supplies,Online,Critical,2022-12-16,1085,2022-12-26,466,569.93,337.14,265587.38,157107.24,108480.14
Oceania,Australia,Food,Offline,Critical,2025-08-06,1086,2025-08-20,6275,57.42,38.77,360310.5,243281.75,117028.75
Africa,South Africa,Office Supplies,Offline,Critical,2022-11-22,1087,2022-11-25,644,493.17,261.54,317601.48,168431.76,149169.72
South America,Chile,Electronics,Online,Low,2023-09-21,1088,2023-09-22,6681,633.41,429.52,4231812.21,2869623.12,1362189.09
Europe,Germany,Furniture,Online,Low,2025-11-11,1089,2025-11-17,4244,239.28,171.07,1015504.32,726021.08,289483.24
Oceania,Australia,Cosmetics,Online,High,2021-12-27,1090,2022-01-07,4213,777.28,613.68,3274680.64,2585433.84,689246.8
Asia,Japan,Clothing,Online,Low,2025-02-08,1091,2025-02-14,460,573.46,411.63,263791.6,189349.8,74441.8
Africa,Egypt,Cosmetics,Online,Low,2022-10-17,1092,2022-10-21,8103,500.4,252.15,4054741.2,2043171.45,2011569.75
Oceania,Australia,Electronics,Offline,Medium,2023-05-20,1093,2023-05-26,7322,510.24,387.81,3735977.28,2839544.82,896432.46
Oceania,New Zealand,Clothing,Online,Medium,2023-06-24,1094,2023-06-25,2335,533.72,346.75,1246236.2,809661.25,436574.95
Asia,Singapore,Food,Offline,Low,2024-10-25,1095,2024-11-02,4589,534.85,389.25,2454426.65,1786268.25,668158.4
Asia,South Korea,Office Supplies,Online,High,2023-09-27,1096,2023-10-09,5547,790.62,599.22,4385569.14,3323873.34,1061695.8
Africa,Kenya,Clothing,Online,Critical,2022-02-17,1097,2022-02-22,9322,209.69,143.55,1954730.18,1338173.1,616557.08
Africa,South Africa,Clothing,Online,Critical,2023-01-02,1098,2023-01-12,2637,192.43,151.53,507437.91,399584.61,107853.3
North America,United States,Cosmetics,Online,Low,2024-03-21,1099,2024-04-02,6562,879.78,630.88,5773116.36,4139834.56,1633281.8
Africa,Nigeria,Electronics,Offline,Critical,2021-08-28,1100,2021-08-29,1263,674.07,369.39,851350.41,466539.57,384810.84
Europe,Spain,Office Supplies,Offline,Medium,2024-12-20,1101,2024-12-25,144,698.78,498.92,100624.32,71844.48,28779.84
Oceania,Australia,Clothing,Offline,High,2022-06-09,1102,2022-06-13,5841,561.45,285.32,3279429.45,1666554.12,1612875.33
South America,Colombia,Furniture,Online,High,2024-11-27,1103,2024-11-29,6841,932.77,454.57,6381079.57,3109713.37,3271366.2
Oceania,New Zealand,Cosmetics,Online,Medium,2022-09-29,1104,2022-10-13,1738,798.74,402.42,1388210.12,699405.96,688804.16
Oceania,Fiji,Office Supplies,Offline,Critical,2025-12-20,1105,2026-01-03,5884,311.7,188.67,1834042.8,1110134.28,723908.52
Oceania,Australia,Cosmetics,Online,Medium,2022-02-01,1106,2022-02-09,3618,153.82,83.28,556520.76,301307.04,255213.72
Asia,Singapore,Clothing,Offline,Low,2022-07-24,1107,2022-08-01,3337,900.31,429.62,3004334.47,1433641.94,1570692.53
Africa,Kenya,Food,Offline,Medium,2023-02-05,1108,2023-02-11,2290,500.08,368.32,1145183.2,843452.8,301730.4
North America,Canada,Electronics,Online,Medium,2022-10-25,1109,2022-10-28,267,850.18,477.6,226998.06,127519.2,99478.86
Oceania,Fiji,Clothing,Offline,Medium,2026-06-26,1110,2026-07-09,4628,377.44,182.48,1746792.32,844517.44,902274.88
Asia,China,Electronics,Online,Critical,2026-07-07,1111,2026-07-16,2570,874.89,415.03,2248467.3,1066627.1,1181840.2
Africa,South Africa,Office Supplies,Online,Critical,2022-12-18,1112,2022-12-28,5567,571.27,278.36,3180260.09,1549630.12,1630629.97
Oceania,Australia,Clothing,Online,Critical,2026-04-06,1113,2026-04-16,2168,433.3,278.04,939394.4,602790.72,336603.68
Oceania,New Zealand,Clothing,Online,Medium,2025-01-29,1114,2025-02-08,7624,112.06,52.3,854345.44,398735.2,455610.24
Asia,Japan,Clothing,Online,High,2025-07-30,1115,2025-08-05,7614,156.94,85.89,1194941.16,653966.46,540974.7
Africa,South Africa,Electronics,Online,High,2023-07-02,1116,2023-07-04,125,123.97,97.92,15496.25,12240.0,3256.25
Africa,Kenya,Clothing,Offline,Medium,2025-12-16,1117,2025-12-30,8277,819.04,649.67,6779194.08,5377318.59,1401875.49
South America,Argentina,Furniture,Online,Medium,2024-10-06,1118,2024-10-20,4745,134.23,66.01,636921.35,313217.45,323703.9
Africa,Morocco,Office Supplies,Online,Medium,2025-01-29,1119,2025-02-12,2567,280.35,168.83,719658.45,433386.61,286271.84
Oceania,Fiji,Clothing,Offline,Critical,2022-07-26,1120,2022-08-06,9610,969.09,749.92,9312954.9,7206731.2,2106223.7
Oceania,Fiji,Office Supplies,Offline,High,2026-05-22,1121,2026-05-24,4728,738.46,434.58,3491438.88,2054694.24,1436744.64
North America,Canada,Electronics,Offline,Critical,2026-02-02,1122,2026-02-06,2624,990.74,769.78,2599701.76,2019902.72,579799.04
Asia,China,Cosmetics,Online,Low,2024-03-20,1123,2024-03-22,5419,198.55,131.73,1075942.45,713844.87,362097.58
South America,Chile,Electronics,Online,High,2024-09-11,1124,2024-09-20,7848,100.79,49.92,790999.92,391772.16,399227.76
North America,Canada,Furniture,Online,Critical,2025-07-04,1125,2025-07-15,6748,996.03,479.94,6721210.44,3238635.12,3482575.32
Europe,United Kingdom,Food,Offline,Low,2022-09-19,1126,2022-09-26,6553,943.53,484.44,6182952.09,3174535.32,3008416.77
North America,United States,Furniture,Offline,Critical,2024-01-07,1127,2024-01-13,8380,323.89,160.9,2714198.2,1348342.0,1365856.2
Europe,Germany,Cosmetics,Online,Medium,2025-05-17,1128,2025-05-26,9020,840.34,625.59,7579866.8,5642821.8,1937045.0
Europe,Spain,Food,Online,High,2023-05-04,1129,2023-05-07,6170,555.59,414.85,3427990.3,2559624.5,868365.8
Africa,Morocco,Cosmetics,Online,Critical,2025-12-05,1130,2025-12-08,2932,814.37,483.31,2387732.84,1417064.92,970667.92
Africa,South Africa,Electronics,Offline,High,2026-03-17,1131,2026-03-26,6089,518.24,344.62,3155563.36,2098391.18,1057172.18
Asia,Japan,Cosmetics,Online,High,2022-11-12,1132,2022-11-21,2624,749.71,595.02,1967239.04,1561332.48,405906.56
North America,Canada,Electronics,Offline,High,2021-08-31,1133,2021-09-11,5971,620.81,389.86,3706856.51,2327854.06,1379002.45
Africa,South Africa,Electronics,Offline,High,2025-04-17,1134,2025-04-27,9148,572.69,366.19,5238968.12,3349906.12,1889062.0
South America,Chile,Cosmetics,Online,Low,2023-02-23,1135,2023-02-25,3540,444.54,276.09,1573671.6,977358.6,596313.0
Asia,South Korea,Furniture,Online,Medium,2022-01-22,1136,2022-01-27,9217,389.69,277.27,3591772.73,2555597.59,1036175.14
Europe,France,Electronics,Online,Medium,2021-08-18,1137,2021-08-25,4824,75.84,39.15,365852.16,188859.6,176992.56
Europe,France,Food,Online,Low,2026-06-14,1138,2026-06-18,6147,944.69,604.71,5807009.43,3717152.37,2089857.06
Europe,Germany,Office Supplies,Online,Low,2024-08-28,1139,2024-09-10,6813,297.32,171.24,2025641.16,1166658.12,858983.04
Africa,Egypt,Electronics,Offline,Low,2023-10-09,1140,2023-10-20,2447,831.18,456.54,2033897.46,1117153.38,916744.08
Europe,Spain,Office Supplies,Offline,Low,2022-09-29,1141,2022-10-03,4671,918.42,559.16,4289939.82,2611836.36,1678103.46
South America,Brazil,Electronics,Offline,Low,2022-08-13,1142,2022-08-18,827,177.69,94.95,146949.63,78523.65,68425.98
North America,United States,Electronics,Online,Critical,2024-12-09,1143,2024-12-15,6736,770.53,517.78,5190290.08,3487766.08,1702524.0
Oceania,Australia,Cosmetics,Offline,High,2023-09-06,1144,2023-09-19,2056,458.37,259.36,942408.72,533244.16,409164.56
North America,Canada,Electronics,Online,Medium,2023-11-06,1145,2023-11-14,2396,236.35,114.92,566294.6,275348.32,290946.28
Oceania,Australia,Clothing,Online,Low,2023-07-31,1146,2023-08-05,4017,461.22,214.04,1852720.74,859798.68,992922.06
Europe,France,Clothing,Online,High,2025-02-16,1147,2025-02-20,3913,734.43,476.13,2873824.59,1863096.69,1010727.9
Europe,Germany,Electronics,Offline,Medium,2023-12-02,1148,2023-12-13,3475,610.32,474.92,2120862.0,1650347.0,470515.0
South America,Colombia,Clothing,Online,Critical,2023-10-21,1149,2023-11-03,3250,308.29,242.69,1001942.5,788742.5,213200.0
Europe,Italy,Clothing,Online,Low,2021-08-21,1150,2021-08-29,9897,565.94,427.12,5601108.18,4227206.64,1373901.54
Oceania,Fiji,Electronics,Online,Medium,2025-11-07,1151,2025-11-15,2579,983.25,478.35,2535801.75,1233664.65,1302137.1
Oceania,Australia,Office Supplies,Online,High,2025-11-29,1152,2025-12-10,3446,903.8,573.64,3114494.8,1976763.44,1137731.36
Europe,Italy,Cosmetics,Offline,Critical,2025-07-31,1153,2025-08-11,828,270.76,132.23,224189.28,109486.44,114702.84
North America,United States,Clothing,Offline,Critical,2024-05-16,1154,2024-05-25,4173,625.13,424.85,2608667.49,1772899.05,835768.44
North America,Mexico,Clothing,Online,Low,2026-03-14,1155,2026-03-27,7470,43.72,20.94,326588.4,156421.8,170166.6
Asia,China,Office Supplies,Online,Low,2021-12-03,1156,2021-12-17,682,768.84,417.81,524348.88,284946.42,239402.46
Asia,India,Furniture,Online,High,2024-03-14,1157,2024-03-24,6811,227.14,123.25,1547050.54,839455.75,707594.79
